AppID,AppType,Followers,Positive_rev,Negative_rev,Positive_rev_per,Steam reviews,PlayTracker,VG Insights,SteamSpy
220900,Game,207,226,129,63.66%,14.2 k,1.15 M,62.9 k,108.0 k
1768260,Game,44,28,2,93.33%,600,,900,
539090,Game,129,23,8,74.19%,775,121.7 k,960,9.0 k
908500,Game,55,13,12,52.00%,625,,658,401.0 k
1852760,Game,49,2,4,33.33%,120,38.5 k,180,
809890,Game,"31,181",836,343,70.91%,29.5 k,1.29 M,35.5 k,56.0 k
570770,Game,"5,995","1,926",557,77.57%,74.5 k,403.1 k,74.2 k,369.0 k
448500,Game,180,35,2,94.59%,1.3 k,393.2 k,12.3 k,13.0 k
854160,Game,35,11,32,25.58%,1.1 k,214.8 k,1.4 k,4.0 k
1359170,Game,37,8,3,72.73%,220,,360,10.0 k
897010,Game,43,2,0,100.00%,50,5.9 k,62,1.0 k
1607870,Game,9,1,0,100.00%,20,,30,2.0 k
553260,Game,"10,084",696,425,62.09%,33.6 k,539.6 k,50.6 k,68.0 k
453130,Game,230,27,5,84.38%,1.1 k,183.9 k,2.5 k,3.0 k
1508890,Game,123,5,4,55.56%,180,,270,
3010,Game,785,349,81,81.16%,17.2 k,371.4 k,20.9 k,44.0 k
1297480,Game,27,2,1,66.67%,60,,90,5.0 k
1217830,Game,193,164,5,97.04%,3.4 k,,5.1 k,3.0 k
628830,Game,167,,,,,,720,5.0 k
686440,Game,823,203,27,88.26%,6.9 k,24.0 k,7.8 k,12.0 k
521710,Game,452,9,10,47.37%,570,14.1 k,720,23.0 k
1986310,Game,343,148,15,90.80%,3.3 k,,4.9 k,
1259660,Game,52,3,0,100.00%,60,,90,23.0 k
108200,Game,"8,111","4,326",435,90.86%,190.4 k,2.50 M,540.7 k,628.0 k
614150,Game,81,10,0,100.00%,300,810,478,1.0 k
1570340,Game,198,17,13,56.67%,600,,900,
304970,Application,"2,052",1,0,100.00%,35,,60,1.0 k
1630940,Game,19,7,1,87.50%,160,,240,30.0 k
878520,Game,342,70,32,68.63%,2.6 k,21.3 k,3.1 k,19.0 k
1927300,Game,23,,,,,,,
340630,Game,139,43,120,26.38%,5.7 k,573.2 k,5.5 k,28.0 k
