AppID,primary genre
1411460,Indie 
680250,Action 
1915740,Casual 
1421410,Strategy 
1275660,Adventure 
781520,Indie 
1559930,Adventure 
1479540,Action 
1854510,Sports 
1462560,Action 
1314290,Casual 
1753100,Casual 
1554970,Indie 
612590,Free to Play 
700170,Free to Play 
798590,Adventure 
718740,Indie 
481950,Indie 
113420,Free to Play 
714880,Casual 
328550,Indie 
429430,Action 
1511130,Simulation 
454540,Massively Multiplayer 
829260,Action 
1384990,Indie 
1108020,Casual 
781760,Casual 
988070,Action 
1222370,Action 
533960,Indie 
1152200,Adventure 
760640,Sports 
22380,Action 
1678450,Indie 
1475940,Indie 
529780,Simulation 
753090,Free to Play 
499230,Action 
1136240,Indie 
450390,Free to Play 
1907420,Indie 
1268840,Action 
1050910,Action 
403100,Simulation 
1245930,Action 
1021260,Casual 
837720,Indie 
1548540,Action 
463150,Action 
514700,Casual 
1769630,Casual 
1898570,Action 
1821150,Casual 
1572220,Action 
508710,Casual 
1347130,Indie 
1689930,Casual 
910540,Adventure 
514920,Racing 
1286030,Indie 
574180,Early Access 
1680530,Indie 
550600,Indie 
1492590,Indie 
1173870,Action 
1806430,Adventure 
826170,Action 
643900,RPG 
1222610,Simulation 
598030,Action 
352950,Action 
385800,Indie 
1305880,Casual 
978460,Indie 
1287450,Strategy 
1125800,Casual 
700520,Indie 
1154210,Simulation 
388010,Casual 
1409190,Indie 
681760,Action 
1755240,Action 
842770,Action 
1409600,Indie 
1455650,Action 
697930,Action 
1271260,Adventure 
859610,Action 
644670,Action 
710920,Action 
1190000,Simulation 
1131750,RPG 
1390340,Action 
907190,Racing 
1362830,Action 
860590,Action 
1358430,Strategy 
1617560,Strategy 
1455840,Strategy 
1228960,Casual 
1124810,Action 
1253190,Action 
1489600,Indie 
1331530,Adventure 
1837980,Indie 
1241700,Indie 
566250,Action 
1715840,Action 
747230,Simulation 
1571480,Indie 
951440,Action 
1607570,Casual 
1577450,Free to Play 
1237870,Action 
491060,Indie 
216210,Adventure 
867540,RPG 
1245810,Indie 
1361020,Indie 
464340,Adventure 
1635550,Simulation 
1750740,Indie 
1147970,Adventure 
912790,Adventure 
17100,Strategy 
554290,Adventure 
485630,Indie 
302750,Casual 
708630,Adventure 
948850,Strategy 
1156200,Indie 
1569560,Adventure 
1213230,Casual 
1627920,Casual 
581100,Indie 
789700,Indie 
1061090,Indie 
1171950,Adventure 
1340860,Indie 
500940,Casual 
1579300,Indie 
1672460,Adventure 
1444950,Indie 
1112340,Indie 
